Date,Value,,,,,
194,262.206,323.7568,,,,
195,254.044,298.186279,,,,
196,288.596,339.365,,,,
197,293.514,322.658,,,,
198,296.387,350.7886,,,,
199,282.689,351.6104,,,,
200,297.765,360.240662,,,,
201,296.231,363.2089,,,,
202,342.832,479.647034,,,,
203,321.383,375.7659,,,,
204,317.916,429.4188,,,,
205,293.871,298.140533,,,,
206,281.762,326.67926,,,,
207,281.751,428.733643,,,,
208,295.236,419.601257,,,,
209,288.655,436.724548,,,,
210,289.55,402.7977,,,,
211,310.415,394.4872,,,,
212,296.588,433.299866,,,,
213,310.033,416.865,,,,
214,352.299,392.536,,,,
215,395.36,427.3659,,,,
216,379.959,416.176636,,,,
217,352.102,425.994141,,,,
218,327.089,379.1906,,,,
219,305.769,334.670166,,,,
220,294.321,290.1497,,,,
221,311.504,356.3596,,,,
222,300.504,359.784241,,,,
223,357.927,316.176636,,,,
224,347.63,380.7886,,,,
225,327.742,404.2132,,,,
226,308.409,352.2498,,,,
227,318.411,412.751953,,,,
228,303.077,418.4597,,,,
229,283.649,354.9893,,,,
230,268.277,416.176636,,,,
231,273.102,418.0033,,,,
232,304.132,424.1675,,,,
233,291.549,392.8892,,,,
234,294.39,391.7476,,,,
235,305.773,369.829468,,,,
236,300.087,368.2315,,,,
237,280.058,365.492,,,,
238,267.005,340.377869,,,,
239,249.66,299.282074,,,,
240,235.052,348.3687,,,,
241,261.335,327.1357,,,,
242,276.819,359.0991,,,,
243,281.189,297.689,,,,
244,293.453,437.409668,,,,
245,284.353,391.0625,,,,
246,288.57,354.9893,,,,
247,275.24,360.240662,,,,
248,286.164,362.523743,,,,
249,288.145,344.259,,,,
250,284.191,320.7428,,,,
251,306.012,357.2724,,,,
252,316.635,354.9893,,,,
253,324.225,373.9393,,,,
254,339.677,320.2864,,,,
255,322.54,366.633545,,,,
256,324.349,343.8483,,,,
257,304.245,325.5835,,,,
258,287.831,325.5835,,,,
259,279.779,310.743317,,,,
260,264.596,290.195435,,,,
261,254.36,268.460236,,,,
262,247.259,282.204559,,,,
263,239.724,251.382721,,,,
264,251.9,309.373047,,,,
265,255.796,334.715881,,,,
266,244.525,263.939758,,,,
267,231.931,299.32782,,,,
268,218.829,289.967224,,,,
269,245.964,253.437622,,,,
270,228.006,258.0038,,,,
271,211.86,235.172821,,,,
272,197.108,220.332642,,,,
273,183.678,192.935455,,,,
274,172.108,249.3967,,,,
275,160.204,233.415,,,,
276,151.216,219.716385,,,,
277,141.145,210.583984,,,,
278,129.988,206.017792,,,,
279,122.023,201.451584,,,,
280,115.103,192.319183,,,,
281,108.913,186.611435,,,,
282,102.975,169.48819,,,,
283,97.8183,160.355774,,,,
284,90.8991,147.798737,,,,
285,87.7607,133.232529,,,,
286,83.3719,124.100128,,,,
287,77.7467,119.53392,,,,
288,74.528,117.250824,,,,
289,69.9228,112.684631,,,,
290,65.6739,105.835327,,,,
291,61.8461,104.693771,,,,
292,58.4337,103.552231,,,,
293,55.2227,101.269119,,,,
294,52.1633,100.127579,,,,
295,49.4063,97.844467,,,,
296,46.9261,95.561371,,,,
297,50.4433,93.278275,,,,
298,49.5906,88.712074,,,,
299,48.9591,86.42897,,,,
300,46.5397,84.145874,,,,
301,44.3228,81.86277,,,,
302,42.2996,77.29657,,,,
303,40.3919,78.438118,,,,
304,38.6635,76.155022,,,,
305,37.0789,74.328537,,,,
306,36.9071,71.817131,,,,
307,36.572,71.360512,,,,
308,35.0989,69.762337,,,,
309,33.7442,69.762337,,,,
310,32.4981,68.963249,,,,
311,31.3554,67.365082,,,,
312,30.2992,66.680153,,,,
313,29.3462,66.223534,,,,
314,28.452,64.739517,,,,
315,27.6173,62.113953,,,,
316,26.856,59.83085,,,,
317,26.1459,58.23268,,,,
318,25.4862,57.54775,,,,
319,25.8059,55.60712,,,,
320,25.1723,53.66648,,,,
321,24.5934,52.52493,,,,
322,24.0681,51.84,,,,
323,24.5668,50.24183,,,,
324,24.0349,47.95873,,,,
325,23.5375,45.33316,,,,
326,23.0675,43.39253,,,,
327,22.6296,40.76696,,,,
328,23.1064,36.20076,,,,
329,22.6446,33.5751953,,,,
330,22.2145,32.43365,,,,
331,21.8135,31.97703,,,,
332,21.4406,30.15054,,,,
333,22.3047,28.5523758,,,,
334,22.7681,27.41083,,,,
