Date,Value
1,
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.162357
11,0.371253
12,0.590367
13,1.44369
14,1.88546
15,2.11529
16,2.1069
17,2.02151
18,1.9172
19,1.80672
20,1.70517
21,1.76544
22,1.88018
23,2.16542
24,2.33903
25,2.55205
26,2.52938
27,2.58799
28,2.67447
29,2.76438
30,2.69502
31,2.73376
32,2.80889
33,3.01812
34,3.14419
35,3.23875
36,3.32123
37,3.97228
38,4.10695
39,4.02446
40,4.02312
41,3.90242
42,3.75345
43,4.49164
44,4.75459
45,4.84095
46,4.86953
47,4.88312
48,4.89513
49,5.46082
50,5.65967
51,5.6144
52,5.44288
53,5.24575
54,5.02953
55,4.97033
56,4.98054
57,5.01831
58,5.17196
59,5.28247
60,5.38821
61,5.70987
62,6.61891
63,7.05681
64,7.10244
65,7.01601
66,6.95323
67,6.9105
68,6.87409
69,6.82977
70,6.64269
71,6.68113
72,7.29239
73,7.561
74,7.82503
75,7.89326
76,7.90803
77,7.95579
78,9.3139
79,10.2862
80,10.4803
81,10.4124
82,10.2552
83,9.94225
84,10.9403
85,11.1893
86,11.0512
87,10.9864
88,10.728
89,10.5233
90,10.2083
91,10.0094
92,9.75012
93,9.51979
94,9.337
95,9.24161
96,9.53125
97,9.43522
98,9.37434
99,9.33396
100,9.30985
101,9.45792
102,9.39314
103,9.20075
104,9.04304
105,9.0148
106,9.38736
107,9.51879
108,9.77505
109,9.86555
110,9.8905
111,9.88733
112,9.87817
113,10.7943
114,10.9958
115,11.1101
116,11.168
117,11.1786
118,11.1438
119,11.6094
120,11.8771
121,11.9244
122,11.7677
123,11.6076
124,11.4321
125,11.3388
126,11.3546
127,11.912
128,12.4744
129,12.7985
130,13.0476
131,13.2111
132,13.3092
133,13.6391
134,13.7058
135,13.6519
136,13.3359
137,14.3971
138,14.5792
139,14.9891
140,16.0717
141,16.742
142,17.404
143,17.6174
144,18.1111
145,19.8028
146,20.4008
147,21.8304
148,24.9719
149,25.5682
150,25.7957
151,26.0875
152,25.6492
153,25.6532
154,25.5791
155,25.7779
156,26.104
157,26.6668
158,28.8961
159,32.4512
160,36.7389
161,40.8232
162,41.8612
163,41.1516
164,40.7389
165,40.3793
166,39.4275
167,43.0532
168,43.938
169,45.2831
170,47.4175
171,47.7336
172,47.2735
173,47.1032
174,50.3725
175,52.0221
176,54.4458
177,54.0964
178,53.1525
179,52.2564
180,53.8672
181,58.241
182,59.0609
183,57.8869
184,56.2039
185,54.2494
186,52.2912
187,50.4171
188,48.7733
189,47.3103
190,45.8787
191,44.5122
192,43.2778
193,42.2202
194,41.194
195,40.2282
196,39.6021
197,38.9598
198,38.3313
199,37.6422
200,37.1371
201,36.6205
202,36.431
203,35.9695
204,35.5333
205,34.9974
206,34.509
207,34.1246
208,33.8758
209,33.5583
210,33.2794
211,33.1498
212,32.8696
213,32.7114
214,32.529
215,32.3557
216,32.0594
217,31.6983
218,31.3282
219,30.9707
220,30.6499
221,30.4186
222,30.1608
223,30.0644
224,29.8728
225,29.6272
226,29.3662
227,29.1751
228,28.9525
229,28.7123
230,28.4769
231,28.2953
232,28.2002
233,28.0338
234,27.8811
235,27.7566
236,27.6037
237,27.4065
238,27.2097
239,27.0049
240,26.8031
241,26.7039
242,26.6187
243,26.5145
244,26.4242
245,26.3481
246,26.3556
247,26.2786
248,26.3188
249,26.3436
250,26.3214
251,26.4364
252,26.5346
253,26.6069
254,26.7181
255,26.6388
256,26.6054
257,26.4481
258,26.2624
259,26.114
260,25.9318
261,25.7639
262,25.6201
263,25.4809
264,25.4654
265,25.4427
266,25.3235
267,25.1588
268,24.9702
269,25.0252
270,24.8897
271,24.6909
272,24.4753
273,24.2588
274,24.0518
275,24.0232
276,24.2558
277,24.3477
278,24.2065
279,24.1667
280,24.1707
281,24.1993
282,24.2045
283,24.2071
284,24.0204
285,24.0788
286,24.0734
287,23.8825
288,23.8068
289,23.6059
290,23.3609
291,23.1085
292,22.8636
293,22.6263
294,22.3991
295,22.1822
296,21.9751
297,22.4041
298,22.5618
299,22.6224
300,22.4765
301,22.2632
302,22.0336
303,21.8057
304,21.5856
305,21.3747
306,21.3114
307,21.2878
308,21.1476
309,20.9701
310,20.7846
311,20.601
312,20.423
313,20.2512
314,20.0857
315,19.9261
316,19.772
317,19.6228
318,19.4782
319,19.445
320,19.3404
321,19.2123
322,19.0786
323,19.057
324,18.9585
325,18.8342
326,18.7029
327,18.5713
328,18.5459
329,18.4502
330,18.331
331,18.2052
332,18.0793
